Full Name,Title,Diversity Flag,Firm,Type,Location,Crunchbase URL,LinkedIn URL
Maha Ibrahim,General Partner,Female,"Broadway Angels,Canaan Partners","Angel Network, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/maha-ibrahim,http://www.linkedin.com/pub/maha-ibrahim/0/9/b95
Rebecca Lynn,Co-founder & General Partner,Female,"Broadway Angels,Canvas Ventures","Angel Network, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/rebecca-lynn,http://www.linkedin.com/in/lynnra
Gretchen Howard,Partner,Female,CapitalG,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/gretchen-howard,https://www.linkedin.com/in/gretchenehoward
Laela Sturdy,Partner,Female,CapitalG,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/laela-sturdy,https://www.linkedin.com/in/laela-sturdy-376543
Lanchun Duan,Managing Partner,Female,Cathay Innovation,Venture Capital,"""Shanghai, China""",https://www.crunchbase.com/person/lanchun-duan,
Susan Hobbs,Partner,Female,CF,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/susan-hobbs,http://www.linkedin.com/in/susanhobbs
Danielle Dudum ,Partner,Female,Cherubic Ventures,Venture Capital,"""San Francisco, CA""",,https://www.linkedin.com/in/danielledudum/
Carlos Ochoa,Managing Partner,PoC,Chilango Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/carlos-ochoa-2,
Neha Jain,Managing Partner,Female,Chilango Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/neha-jain-3,
Christina Bechhold Russ,Angel,Female,Christina Bechhold Russ,Angel,"""New York, NY""",,Http://www.linkedin.com/Christina-bechhold
Diana Meyel,Managing Partner,Female,Cipio Partners,Venture Capital,"""Munich, Germany""",https://www.crunchbase.com/person/diana-meyel,
Janey Hoe,Vice President,Female,Cisco Investments,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/janey-hoe,https://www.linkedin.com/in/janeyhoe/
Michele Park,Partner,Female,Clarus Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/michele-park,http://www.linkedin.com/pub/michele-park/3/80b/b67
Don Thompson,Partner,PoC,Cleveland Avenue,Venture Capital,"""Chicago, IL""",https://www.crunchbase.com/person/don-thompson-2,
Amy Banse,Managing Director and Head of Funds,Female,"Broadway Angels,Comcast Ventures","Angel Network, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/amy-banse,https://www.linkedin.com/in/amy-banse-7468211/
Denmark West,Partner,PoC,Connectivity Capital Partners,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/denmark-west,https://www.linkedin.com/in/denmarkwest
Kavita Gupta,Founding Managing Partner,Female,Consensys Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/kavita-gupta-2,https://www.linkedin.com/in/kavita-gupta-71a4352/
Maia Heymann,Founder & General Partner,Female,Converge Venture Partners,Venture Capital,"""Cambridge, MA""",https://www.crunchbase.com/person/maia-heymann,https://www.linkedin.com/in/maiaheymann/
Nilanjana Bhowmik,Founder & General Partner,Female,Converge Venture Partners,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/nilansana-bhowmik,http://www.linkedin.com/in/nilanjanabhowmik
Kathleen Utecht,Managing Partner,Female,Core Innovation Capital,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/aileen-lee,http://www.linkedin.com/pub/kathleen-utecht/18/106/35a
Joanna Drake,Angel,Female,"Broadway Angels,Core Ventures Group","Angel Network, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/joanna-drake-earl,
Shubhra Jain,Senior Associate,"Female,PoC",Cota Capital,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/organization/cota-capital,https://www.linkedin.com/in/drshubhra/
Aileen Lee,Founder & Partner,Female,"Broadway Angels,Cowboy Ventures","Angel Network, Venture Capital","""Palo Alto, CA""",https://www.crunchbase.com/person/aileen-lee,http://www.linkedin.com/in/aileenwlee
Lainy Painter,Principal,Female,Craft Ventures,Venture Capital,"""San Francisco, CA""",,https://www.linkedin.com/in/elena-painter/
Marlon Nichols,General Partner,PoC,Cross Culture Ventures,Venture Capital,"""Los Angeles, CA""",https://www.crunchbase.com/person/marlon-c-nichols,http://www.linkedin.com/in/marloncnichols
Trevor Thomas-Uribe,Partner,PoC,Cross Culture Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/trevor-thomas-3,
Huoy-Ming Yeh,"Founding, Managing Partner",Female,CSC Upshot,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/huoy-ming-yeh#section-overview,https://www.linkedin.com/in/huoy-ming-yeh/
Heather Wood,General Partner,Female,Cultivation Capital,Venture Capital,"""Saint Louis, MO""",https://www.crunchbase.com/person/heather-wood,https://www.linkedin.com/in/heather-wood-689a7b3/
Nicholas Pianim,Managing Director,PoC,DAG Ventures,Venture Capital,"""Palo Alto, CA""",https://www.crunchbase.com/person/nicholas-k-pianim,https://www.linkedin.com/in/nicholas-pianim-2898a8a3
Masha Drokova,Founding Partner,Female,Day One Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/masha-drokova,https://www.linkedin.com/in/mashadrokova/
Nancy Pfund,Founder & Managing Partner,Female,DBL Investors,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/nancy-pfund,https://www.linkedin.com/in/nancy-pfund-30b6ab13/
Cynthia Ringo,Senior Partner,Female,"Broadway Angels,DBL Investors","Angel Network, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/cynthia-ringo,https://www.linkedin.com/in/cynthia-ringo-40576a4
Trae Vassallo,Co-Founder & Managing Director,Female,Defy Partners,Venture Capital,"""Menlo Park, CA""",https://www.crunchbase.com/person/trae-vassallo,https://www.linkedin.com/in/traevassallo/
Dovey Wan,Managing Director,Female,DHVC (Danhua Capital),Venture Capital,"""Palo Alto, CA""",https://www.crunchbase.com/person/dovey-wan,https://www.linkedin.com/in/doveywan/
Diane Henry,Angel,"PoC,Female",Diane Henry,Angel,"""New York, NY""",https://www.crunchbase.com/person/diane-henry,https://www.linkedin.com/in/diane-henry/
Kathryn Finney,Angel,"PoC,Female","Kathryn Finney,DigitalUndivided","Angel, Angel Network","""New York, NY""",https://www.crunchbase.com/person/kathryn-finney,http://www.linkedin.com/in/kathrynfinney
JB Rubinovitz,Partner,LGBTQ,Dimension Ventures,Venture Capital,,,
Mariah Lichtenstern,Managing Partner,"PoC,Female",DiverseCity Ventures,Venture Capital,"""Sacramento, CA""",https://www.crunchbase.com/person/mariah-lichtenstern-2,http://www.linkedin.com/in/mariahlichtenstern
Debra K. Liebert,Managing Director,Female,Domain Associates,Venture Capital,"""San Diego, CA""",https://www.crunchbase.com/person/debra-k-liebert,https://www.linkedin.com/in/debra-liebert-4b13335/
Kim P. Kamdar,Partner,Female,Domain Associates,Venture Capital,"""San Diego, CA""",https://www.crunchbase.com/person/kim-p-kamdar,https://www.linkedin.com/in/kim-kamdar-372031126/
Nicole Vitullo,Partner,Female,Domain Associates,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/nicole-vitullo,http://www.linkedin.com/pub/nicole-vitullo/3b/873/1a9
Emily Melton,Partner,Female,"Broadway Angels,Draper Fisher Jurvetson (DFJ)","Angel Network, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/emily-melton,https://www.linkedin.com/in/emmelton/
Molly McCartin,Partner,Female,Drive Capital,Venture Capital,"""Columbus, OH""",https://www.crunchbase.com/person/molly-mccartin,https://www.linkedin.com/in/molly-mccartin-90402814/
Beth Engel,Partner,Female,Dundee Venture Capital,Venture Capital,"""Omaha, NE""",https://www.crunchbase.com/person/beth-engel,https://www.linkedin.com/in/elizabeth-beth-engel-08ab9a/
Kevin Durant,Angel,PoC,Durant Company,Angel,"""Oakland, CA""",https://www.crunchbase.com/person/kevin-durant,https://www.linkedin.com/in/kevin-durant-3a66178b
Duygu Oktem Clark,Angel Investor,Female,Duygu Oktem Clark,Angel,"""San Francisco, CA""",https://www.crunchbase.com/person/duygu-oktem,https://www.linkedin.com/in/duyguoktem/
Eghosa Omoigui,Managing Partner,PoC,EchoVC Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/eghosa-omoigui,http://www.linkedin.com/in/eghosaomoigui
Lenard Marcus,Partner,PoC,Edison Partners,Venture Capital,"""Washington, DC""",https://www.crunchbase.com/person/lenard-marcus,https://www.linkedin.com/in/lenard-marcus-808275/
Elain Chen Szu,Angel,Female,Elain Chen Szu,Angel,"""San Francisco, CA""",,https://linkedin.com/in/elain
Julie Ulrich,Partner,Female,Elephant,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/julie-ulrich,https://www.linkedin.com/in/juulrich/
Johanna Posada,Managing Director,"PoC,Female",Elevar Equity,Venture Capital,"""Seattle, WA""",https://www.crunchbase.com/person/johanna-posada,https://www.linkedin.com/in/johanna-gil-posada-b02154
Ellen Pao,Angel,"Female,PoC",Ellen Pao,Angel,"""San Francisco, CA""",https://www.crunchbase.com/person/ellen-pao,https://www.linkedin.com/in/ekpao/
Santi Subotovsky,General Partner,PoC,Emergence Capital Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/santi-subotovsky,http://www.linkedin.com/in/santisubotovsky
Sarah Pinto,"Director, Venture Investing",Female,Emerson Collective,"Family Office, Venture Capital","""Palo Alto, CA""",,https://www.linkedin.com/in/sarah-pinto-peyronel-7878b82/
Jackie Carmel,Managing Director,"PoC,Female",Endeavor Catalyst,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/jackie-carmel,https://www.linkedin.com/in/jackie-carmel-42b55413/
Amy Francetic,Managing Director,Female,Energize Ventures,Venture Capital,"""Chicago, IL""",,https://www.linkedin.com/in/amy-francetic-0129/
Hilton Augustine,Angel,PoC,Englare,Angel,"""Washington, DC""",https://www.crunchbase.com/person/hilton-h-augustine,
Richard Kerby,Partner,PoC,Equal Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/richard-kerby,http://www.linkedin.com/in/richardkerby
Anjli Jain,Managing Partner,Female,EVC Ventures,Venture Capital,"""Chicago, IL""",https://www.crunchbase.com/person/anjli-chopra,https://www.linkedin.com/in/anjlijain/
Maneesha Ghiya,Partner,Female,ExSight Capital Management,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/maneesha-ghiya,
Kola Olofinboba,Managing Partner,PoC,Fairview Capital Partners,Venture Capital,"""West Hartford, CT""",https://www.crunchbase.com/person/kola-olofinboba,
Laurence Morse,CEO,PoC,Fairview Capital Partners,Venture Capital,"""West Hartford, CT""",https://www.crunchbase.com/person/laurence-c-morse,
Felicia Curcuru,Angel,Female,Felicia Curcuru,Angel,"""Oakland, CA""",,https://www.linkedin.com/in/feliciacurcuru/
Victoria Treyger,Managing Director,Female,Felicis Ventures,Venture Capital,,https://www.crunchbase.com/person/wesley-chan,https://www.crunchbase.com/person/victoria-treyger-2/hubs/hubs_list
Anu Duggal,Founding Partner,Female,Female Founders Fund,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/anu-duggal,http://www.linkedin.com/pub/anu-duggal/0/222/568
Sutian Dong,Partner,Female,Female Founders Fund,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/sutian-dong,https://www.linkedin.com/in/sutiandong/
Ela Madej,Managing Partner,Female,Fifty Years,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/ela-madej,
Eva Ho,General Partner,Female,Fika Ventures,Venture Capital,"""Los Angeles, CA""",https://www.crunchbase.com/person/eva-ho,http://www.linkedin.com/in/evaho1
Hayley Barna,Partner,Female,First Round Capital,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/hayley-barna,http://www.linkedin.com/in/hbarna
Beth Ferreira,Managing Director,Female,FirstMark Capital,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/beth-ferreira,https://www.linkedin.com/in/bethmferreira
Catherine Ulrich,Managing Director,Female,FirstMark Capital,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/catherine-ulrich,https://www.linkedin.com/in/catherineulrich/
Phyllis Gotlib,Executive Partner,Female,Flare Capital Partners,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/phyllis-gotlib,https://www.linkedin.com/in/phyllis-gotlib-3a0a7585/
Ann Miura-Ko,Co - Founder & Partner,Female,FLOODGATE,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/ann-miura-ko,http://www.linkedin.com/in/amiura
Iris Choi,Partner,Female,FLOODGATE,Venture Capital,"""Palo Alto, CA""",https://www.crunchbase.com/person/iris-choi,https://www.linkedin.com/in/irischoi/
Heather Redman,Managing Partner,Female,Flying Fish Partners,Venture Capital,"""Seattle, WA""",https://www.crunchbase.com/person/heather-redman,
Kim Kolt,President ,Female,"""For Good Ventures, LLC""","Family Office, Venture Capital","""San Francisco, CA""",Download Crunchbase on the AppStore : https://appsto.re/us/ennMdb.i - https://www.crunchbase.com/organization/for-good-ventures,http://linkedin.com/in/kim-k-071294133
Eurie Kim,General Partner,Female,Forerunner Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/eurie-kim,https://www.linkedin.com/in/euriekim/
Kirsten Green,General Partner,Female,Forerunner Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/kirsten-green,http://www.linkedin.com/in/kirstengreen
Myrna M. Soto,Partner,Female,ForgePoint Capital,Venture Capital,"""Miami, FL""",https://www.crunchbase.com/person/myrna-m-soto,
Alberto Yepez,Co-founder and Managing Director,PoC,"Trident Capital Cybersecurity,Trident Capital,ForgePoint Capital","Venture Capital, Venture Capital, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/alberto-yepez,http://www.linkedin.com/in/albertoyepez
Joanne Chen,Partner,Female,Foundation Capital,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/joanne-chen,https://www.linkedin.com/in/joanne-chen-8486677/
Rodolfo Gonzalez,Partner,PoC,Foundation Capital,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/rodolfo-gonzalez,https://www.linkedin.com/in/gonzalezrodolfo
Cyan Banister,Partner,Female,Founders Fund,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/cyan-banister,http://www.linkedin.com/in/cyanb
Jenny Lefcourt,General Partner,Female,Freestyle Capital,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/jenny-lefcourt,http://www.linkedin.com/in/jennylefcourt
Allison Baum,Managing Partner,Female,Fresco Capital,Venture Capital,"""San Francisco, CA""",,https://www.linkedin.com/in/allisonebaum/
Leah Busque,General Partner,Female,Fuel Capital,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/leah-busque,http://www.linkedin.com/in/labusque
Kevin Lockett,Partner,PoC,Fulcrum Global Capital,Venture Capital,"""Kansas City, MO""",https://www.crunchbase.com/person/kevin-lockett,https://www.linkedin.com/in/kevinlockettkc/
Darryl Finkton,Managing Partner,PoC,FundRX,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/darryl-finkton-jr,
Lu Zhang,Managing Partner,Female,Fusion Fund,Venture Capital,"""Palo Alto, CA""",https://www.crunchbase.com/person/lu-zhang#section-overview,
Jalak Jobanputra,Managing/Founding Partner,Female,Future Perfect Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/jalak-jobanputra,http://www.linkedin.com/in/jalak
Julie Allegro,General Partner,Female,Fyrfly VC,Angel,"""Menlo Park, CA""",https://www.crunchbase.com/person/julie-allegro,
David Beatty,Managing Member,LGBTQ,Gaingels,Angel Network,"""New York, NY""",https://www.crunchbase.com/person/david-beatty-2#section-overview,
Paul Grossinger,Managing Member,LGBTQ,Gaingels,Angel Network,"""New York, NY""",https://www.crunchbase.com/person/paul-grossinger,
Joyce Chung,Managing Director,Female,Garage Technology Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/joyce-chung,https://www.linkedin.com/in/jochung/
Gayle Jennings O’Byrne,Angel,"PoC,Female",Gayle Jennings O’Byrne,Angel,"""New York, NY""",https://www.crunchbase.com/person/gayle-jennings-o-byrne,
Karen Kerr,Executive Managing Director,"PoC,Female",GE Ventures,Venture Capital,"""Chicago, IL""",https://www.crunchbase.com/person/karen-kerr,https://www.linkedin.com/pub/karen-kerr/25/50b/638
Lisa Coca,,"PoC,Female",GE Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/lisa-coca,http://www.linkedin.com/pub/lisa-coca/26/504/454
Ralph Taylor-Smith,Managing Director,PoC,GE Ventures,Venture Capital,"""Menlo Park, CA""",https://www.crunchbase.com/person/ralph-taylor-smith,
Sue Siegel,CEO,"PoC,Female",GE Ventures,Venture Capital,"""Menlo Park, CA""",https://www.crunchbase.com/person/sue-siegel,https://www.linkedin.com/in/sue-siegel/
Holly Maloney McConnell,Managing Director,Female,General Catalyst,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/holly-maloney,https://www.linkedin.com/in/holly-maloney-7365847/
Katie Hughes,Partner,Female,General Catalyst,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/holly-maloney,https://www.crunchbase.com/person/katie-hughes
Kenneth Chenault,Chairman and Managing Director,PoC,General Catalyst,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/kenneth-i-chenault,https://www.linkedin.com/in/kenneth-i-chenault-a17054167/
Daphne Dufresne,Managing Partner,"PoC,Female",GenNx360 Capital Partners,Venture Capital,"""Washington, DC""",https://www.crunchbase.com/person/daphne-dufrense,https://www.linkedin.com/in/daphne-dufresne-948471/
Rudina Seseri,Founder & Managing Partner,Female,Glasswing Ventures,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/rudina-seseri,https://www.linkedin.com/in/rudinaseseri/
Sarah Fay,Managing Director,Female,Glasswing Ventures,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/sarah-fay#section-overview,https://www.linkedin.com/in/sarahfayboston/
Sherwin Prior,Managing Director,PoC,GM Ventures,Venture Capital,"""Detroit, MI""",https://www.crunchbase.com/person/sherwin-l-prior,
Jo Ann Corkran,Managing Partner,Female,"Golden Seeds,Golden Seeds Venture Fund,GSVF - Golden Seeds Venture Fund,Golden Seeds Venture Fund","Angel Network, Venture Capital, Venture Capital, Venture Capital","""New York, NY""",https://www.crunchbase.com/person/jo-ann-corkran,
Loretta McCarthy,Managing Partner,Female,Golden Seeds,Angel Network,"""New York, NY""",https://www.crunchbase.com/person/loretta-mccarthy,
Patience Marime-Ball,Managing Partner,"Female,PoC",Golden Seeds,Angel Network,"""Kensington, MD""",https://www.crunchbase.com/person/patience-marime-ball,
Peggy Wallace,Managing Partner,Female,Golden Seeds,Angel Network,"""New York, NY""",https://www.crunchbase.com/person/peggy-wallace,
Una Ryan,Angel,Female,"Astia Angels,Golden Seeds","Angel Network, Angel Network","""San Francisco, CA""",https://www.crunchbase.com/person/una-s-ryan,
Michelle Jarrard,Managing Director,Female,GRA Venture Fund,Venture Capital,"""Atlanta, GA""",https://www.crunchbase.com/person/michelle-jarrard,https://www.linkedin.com/in/michellejarrard
Kathryn Cavanaugh,Partner,Female,Grace Beauty Capital,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/kathryn-cavanaugh,
Anna Patterson,Co-Founder and Managing Partner,Female,Gradient Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/anna-patterson,https://www.linkedin.com/in/anna-patterson-15921ba/
Anna Patterson ,Co-Founder and Managing Partner,Female,Gradient Ventures,Venture Capital,"""San Francisco, CA""",,
Dana Settle,Co-Founder & Partner,Female,Greycroft,Venture Capital,"""Seattle, WA""",https://www.crunchbase.com/person/dana-settle,https://www.linkedin.com/in/dana-settle-8b18/
Ellie Wheeler,Partner,Female,Greycroft,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/ellie-wheeler,http://www.linkedin.com/in/elliewheeler
Sarah Guo,Partner,Female,Greylock Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/sarah-guo,http://www.linkedin.com/pub/sarah-guo/8/258/538
Jason Towns,Managing Partner,PoC,Groundworks Ventures,Venture Capital,"""Oakland, CA""",https://www.crunchbase.com/person/jason-towns,https://www.linkedin.com/in/jasontowns/
Deborah Quazzo,Founder and Managing Partner,Female,GSV Acceleration,Venture Capital,"""Chicago, IL""",https://www.crunchbase.com/person/deborah-quazzo,https://www.linkedin.com/in/deborah-quazzo-1343554/
Frederique Dame,General Partner,Female,GV,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/frederique-dame,https://www.linkedin.com/in/frederiquedame
Laura Melahn,Partner,Female,GV,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/laura-melahn,https://www.linkedin.com/in/lauramelahn
Tyson Clark,Partner,PoC,GV,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/tyson-clark,https://www.linkedin.com/in/tysonclark/en
Jessica Verrilli,General Partner,Female,"#Angels,GV","Angel Network, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/jessica-verrilli,http://www.linkedin.com/in/jessicaverrilli
Jesse Draper,Founding Partner,Female,"Broadway Angels,Halogen Ventures","Angel Network, Venture Capital","""Los Angeles, CA""",https://www.crunchbase.com/person/jesse-draper,https://www.linkedin.com/in/jessedraper/
Barbara Belvisi,Co-Founder & Managing Partner,Female,Hardware Club,Venture Capital,"""Paris, France""",https://www.crunchbase.com/person/barbara-belvisi,https://www.linkedin.com/in/barbara-belvisi-79242118/
Brandon Bryant,Managing Partner,PoC,Harlem Capital Partners,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/brandon-bryant,https://www.linkedin.com/in/bbryantwsp/
Henri Pierre-Jacques,Managing Partner,PoC,Harlem Capital Partners,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/henri-pierre-jacques,https://www.linkedin.com/in/hpierrejacques/
Imafidon Edomwonyi,Managing Partner,PoC,Harlem Capital Partners,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/imafidon-edomwonyi,https://www.linkedin.com/in/imafidon/
Jarrid Tingle,Managing Partner,PoC,Harlem Capital Partners,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/jarrid-tingle,https://www.linkedin.com/in/jarrid-tingle/
John Henry,Managing Partner,PoC,Harlem Capital Partners,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/john-henry-2,https://www.linkedin.com/in/johnhenrystyle/
Winzell Steele Jr.,Managing Partner,PoC,Harlem Capital Partners,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/winzell-steele-jr,
Mary Potter,Managing Partner,Female,Healthcare Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/mary-jo-potter,
Anya Schiess,Founder & General Partner,Female,Healthy Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/anya-schiess,https://www.linkedin.com/in/anyaschiess/
Enmi Kendall,Founder & General Partner,Female,Healthy Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/enmi-kendall,https://www.linkedin.com/in/eskendall
Lisa Burton,Executive Director,Female,HearstLab,Accelerator,"""New York, NY""",https://www.crunchbase.com/organization/hearstlab-36b3,http://linkedin.com/in/lisa-burton
Courtney Hall,Managing Director,PoC,Hillcrest Ventures Partners,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/courtney-hall,https://www.linkedin.com/in/courtney-h-876a154/
Bjorn Simmons,Director,PoC,Hillman Accelerator,Accelerator,"""Cincinnati, OH""",https://www.crunchbase.com/person/bjorn-simmons,https://www.linkedin.com/in/bjorn-k-simmons-97885449/
Dhani Jones,Chairman,PoC,"Qey Capital,Hillman Accelerator","Venture Capital, Accelerator","""Cincinnati, OH""",https://www.crunchbase.com/person/dhani-jones,https://www.linkedin.com/in/dhani-jones-29b58617/
Ebow Vroom,CEO & President of Operations,PoC,"Qey Capital,Hillman Accelerator","Venture Capital, Accelerator","""Cincinnati, OH""",https://www.crunchbase.com/person/ebow-vroom,https://www.linkedin.com/in/ebowvroom/
Veronica Wu,"Founder, Managing Partner",Female,Hone Capital,Venture Capital,"""Palo Alto, CA""",https://www.crunchbase.com/person/veronica-wu,https://www.linkedin.com/in/wuveronica
Irit Hillel,Partner,Female,HP Tech Ventures,Venture Capital,"""Tel Aviv, Israel""",https://www.crunchbase.com/person/irit-hillel,https://www.linkedin.com/in/irithillel/
Heather Hartnett,General Partner,Female,Human Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/heather-hartnett,https://www.linkedin.com/in/heatherhartnett/
Ann Winblad,Founder and Managing Director,Female,Hummer Winblad Venture Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/ann-winblad,http://www.linkedin.com/in/annwinblad
Elizabeth Yin,,Female,Hustle Fund,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/elizabeth-yin,http://www.linkedin.com/in/elizabethyin
Eric Bahn,General Partner and Co-Founder,Female,Hustle Fund,Venture Capital,"""San Carlos, CA""",,
Shiyan Koh,General Partner,"LGBTQ,Female,PoC",Hustle Fund,Venture Capital,"""San Francisco, CA""",,https://www.linkedin.com/in/shiyankoh/
Wendy Lung,Partner,Female,IBM Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/wendy-lung,https://www.linkedin.com/in/wendy-lung-27bb5721/
Olawale Ayeni,Senior Investment Officer,PoC,IFC,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/wale-ayeni,
Preeti Rathi,Partner,Female,Ignition Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/preeti-rathi,https://www.linkedin.com/in/prathi/
Alexis Yongmei Ji,Partner,Female,Illumina Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/alexis-yongmei-ji,https://www.linkedin.com/in/yongmeiji
Cindy Padnos,"Founder, Managing Partner",Female,Illuminate Ventures,Venture Capital,"""Oakland, CA""",https://www.crunchbase.com/person/cindy-padnos,http://www.linkedin.com/in/cindypadnos
Richard Parsons,Co-founder & Partner,PoC,Imagination Capital,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/richard-parsons,https://www.linkedin.com/in/richard-parsons-18a9a24/
Kesha Cash,Managing Partner,"PoC,Female",Impact America Fund,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/kesha-cash,https://www.linkedin.com/in/keshacash
Swati Mylavarapu,Managing Partner,Female,Incite Ventures,Angel,"""Burlingame, CA""",https://www.crunchbase.com/person/swati-mylavarapu,
Nina Achadjian,Principal,Female,Index Ventures,Venture Capital,,,https://www.linkedin.com/in/nina-achadjian-00aa1812/
Sarah Cannon,Partner,Female,Index Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/sarah-cannon,https://www.linkedin.com/in/cannonsarah/
Lindsay Sharma,Managing Director,Female,Industry Ventures,Venture Capital,"""San Francisco, CA""",,https://www.linkedin.com/in/lindsay-sharma/
Alda Dennis,General Partner,Female,Initialized Capital,Venture Capital,,https://www.crunchbase.com/person/alda-leu-dennis#section-overview,https://www.linkedin.com/in/aldadennis/
Jennifer Wolf,COO and Partner,Female,Initialized Capital,Venture Capital,,,http://linkedin.com/in/jenhwolf
Anika Agarwal,Managing Director,Female,Insight Venture Partners,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/anika-agarwal,https://www.linkedin.com/pub/anika-agarwal/13/609/781
Insiyah Saeed,Angel,Female,Insiyah Saeed,Angel,"""Palo Alto, CA""",,
Christine Herron,Investment Director,Female,Intel Capital,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/christine-herron,http://www.linkedin.com/in/christineherron
